tokens;sentiment;count
fight;anger;1325
court;anger;1196
vote;anger;1153
fighting;anger;1137
violence;anger;683
deserve;anger;621
gun;anger;546
pandemic;fear;10245
fight;fear;1325
court;fear;1196
risk;fear;850
government;fear;835
medical;fear;788
hearing;fear;697
vaccine;positive;3614
public;positive;2992
relief;positive;2628
protect;positive;2524
president;positive;2216
safe;positive;2166
continue;positive;2102
law;trust;5514
senate;trust;2655
president;trust;2216
safe;trust;2166
continue;trust;2102
congress;trust;1718
provide;trust;1412
