State,Income,Anxious,Worry,Interest,Down,Anxiety_Score,Depression_Score
Alabama,3.24,1.73,1.58,1.54,1.5,3.31,3.04
Alaska,3.81,1.82,1.59,1.55,1.53,3.42,3.08
Arizona,3.6,1.79,1.6,1.56,1.53,3.4,3.09
Arkansas,3.08,1.77,1.61,1.56,1.52,3.37,3.08
California,4.09,1.87,1.66,1.59,1.57,3.53,3.16
Colorado,4.06,1.86,1.62,1.55,1.54,3.48,3.09
Connecticut,3.86,1.75,1.53,1.46,1.44,3.28,2.9
Delaware,3.57,1.69,1.51,1.46,1.43,3.2,2.88
Florida,3.56,1.81,1.64,1.57,1.53,3.44,3.1
Georgia,3.61,1.76,1.59,1.52,1.49,3.35,3.01
Hawaii,3.75,1.74,1.59,1.53,1.49,3.33,3.02
Idaho,3.38,1.75,1.55,1.49,1.48,3.3,2.98
Illinois,3.82,1.81,1.59,1.53,1.51,3.4,3.03
Indiana,3.39,1.77,1.58,1.53,1.5,3.35,3.03
Iowa,3.47,1.71,1.53,1.47,1.45,3.24,2.92
Kansas,3.51,1.73,1.54,1.48,1.47,3.28,2.95
Kentucky,3.29,1.8,1.62,1.57,1.53,3.43,3.1
Louisiana,3.1,1.79,1.64,1.58,1.54,3.44,3.12
Maine,3.48,1.81,1.58,1.49,1.48,3.39,2.98
Maryland,4.21,1.78,1.58,1.52,1.49,3.36,3.01
Massachusetts,4.18,1.81,1.57,1.49,1.48,3.38,2.96
Michigan,3.51,1.74,1.55,1.49,1.47,3.29,2.96
Minnesota,3.98,1.77,1.53,1.46,1.45,3.3,2.91
Mississippi,2.87,1.73,1.62,1.56,1.52,3.35,3.07
Missouri,3.48,1.79,1.59,1.53,1.51,3.38,3.04
Montana,3.37,1.77,1.56,1.49,1.48,3.33,2.97
Nebraska,3.51,1.69,1.51,1.46,1.44,3.2,2.91
Nevada,3.43,1.8,1.65,1.59,1.55,3.45,3.15
New Hampshire,3.88,1.73,1.53,1.46,1.44,3.26,2.9
New Jersey,3.98,1.75,1.57,1.48,1.46,3.31,2.94
New Mexico,3.3,1.85,1.64,1.59,1.57,3.49,3.16
New York,4.04,1.89,1.67,1.59,1.57,3.56,3.16
North Carolina,3.69,1.79,1.59,1.52,1.5,3.38,3.02
North Dakota,3.54,1.62,1.45,1.41,1.39,3.07,2.8
Ohio,3.59,1.79,1.59,1.54,1.52,3.38,3.07
Oklahoma,3.25,1.82,1.64,1.58,1.55,3.46,3.13
Oregon,3.62,1.97,1.71,1.64,1.63,3.68,3.27
Pennsylvania,3.79,1.8,1.59,1.53,1.51,3.39,3.03
Rhode Island,3.57,1.74,1.53,1.45,1.43,3.27,2.88
South Carolina,3.42,1.71,1.54,1.49,1.46,3.25,2.95
South Dakota,3.45,1.66,1.49,1.43,1.41,3.15,2.84
Tennessee,3.37,1.78,1.6,1.55,1.52,3.39,3.06
Texas,3.74,1.79,1.62,1.56,1.52,3.42,3.09
Utah,3.81,1.8,1.58,1.53,1.52,3.38,3.05
Vermont,3.71,1.81,1.57,1.49,1.5,3.38,2.99
Virginia,4.29,1.76,1.56,1.5,1.48,3.32,2.98
Washington,4.2,1.89,1.64,1.59,1.57,3.53,3.16
West Virginia,3.18,1.78,1.62,1.56,1.54,3.4,3.11
Wisconsin,3.65,1.75,1.54,1.48,1.47,3.28,2.95
Wyoming,3.5,1.71,1.53,1.47,1.47,3.24,2.94
