week;sentiments;count;prc
1;anger;132;2,435526624073673
1;fear;199;3,235104832824677
1;joy;126;3,685162134551037
1;negative;331;3,928546259074412
1;positive;509;5,133615323120085
1;sadness;144;3,239489553357479
1;trust;258;4,228130545462459
2;anger;43;1,137541746683224
2;fear;79;2,126201998770605
2;joy;47;2,081302592350422
2;negative;175;2,361791742651906
2;positive;310;1,975016054492421
2;sadness;58;2,430536453207606
2;trust;199;1,983061786249581
3;anger;75;1,732390722782262
3;fear;127;2,198166838464947
3;joy;60;1,951049233377108
3;negative;148;2,067990579608268
3;positive;222;1,463829510427043
3;sadness;94;2,239967103637602
3;trust;128;1,273158399018039
4;anger;38;1,166866081656723
4;fear;91;0,971523287752504
4;joy;47;1,110726917246486
4;negative;107;1,472905510643152
4;positive;159;0,978331693608077
4;sadness;68;1,041362862275276
4;trust;82;0,760249826117581
5;anger;76;1,895580232241048
5;fear;87;1,236178702114475
5;joy;31;0,847943027297386
5;negative;74;1,126285516731387
5;positive;125;0,743999677775367
5;sadness;73;1,376037810349318
5;trust;112;0,986912820023012
6;anger;28;1,588341994557331
6;fear;50;1,145868457376114
6;joy;23;0,991487858556078
6;negative;123;0,969727478286216
6;positive;100;0,849789863799692
6;sadness;26;0,819973290439469
6;trust;88;1,035607736117707
7;anger;39;1,081210161748073
7;fear;75;1,476418277006742
7;joy;36;1,330914668659321
7;negative;86;1,130712739581473
7;positive;225;1,216394865251854
7;sadness;42;1,040657691876586
7;trust;151;1,270009801002558
8;anger;35;0,866365235729204
8;fear;64;1,390370194337985
8;joy;29;1,008655315639235
8;negative;54;0,768929948883183
8;positive;223;1,129113217187247
8;sadness;40;1,146393541080259
8;trust;173;1,487941078376547
9;anger;49;1,272971562441570
9;fear;63;1,293969745763349
9;joy;33;1,115476861203571
9;negative;112;1,417662278048264
9;positive;299;1,958881922569467
9;sadness;40;1,114432381623184
9;trust;218;2,165973222806618
10;anger;44;0,939773539104794
10;fear;95;1,154462730041373
10;joy;51;1,235957734056371
10;negative;139;1,947734756327164
10;positive;158;1,289714042728792
10;sadness;53;1,073276407465201
10;trust;112;1,343636125644553
11;anger;44;1,239944552863962
11;fear;82;1,368951654626376
11;joy;47;1,275179852852259
11;negative;219;1,539666414220144
11;positive;89;0,929458322046927
11;sadness;68;1,468265110319237
11;trust;63;0,933852413047128
12;anger;77;1,471201587158419
12;fear;65;1,258206486352579
12;joy;33;0,985042307229461
12;negative;111;1,045295655628881
12;positive;149;1,680293493103437
12;sadness;55;1,582465112396500
12;trust;110;1,816160036687627
13;anger;41;1,518569582486064
13;fear;157;1,601108635999346
13;joy;80;1,661711804932975
13;negative;159;1,674780869193790
13;positive;223;1,647657248736377
13;sadness;105;1,446156397811865
13;trust;140;1,483754910951172
14;anger;109;3,028788500144376
14;fear;219;2,268979129029140
14;joy;100;2,050915317689413
14;negative;205;2,692119258518733
14;positive;309;2,295870961863249
14;sadness;165;2,344534090649311
14;trust;217;2,373256275613608
15;anger;127;4,024366275395065
15;fear;316;3,344461332339788
15;joy;149;3,171518913695911
15;negative;340;4,069894051072461
15;positive;312;2,813879261308644
15;sadness;234;3,409099494302856
15;trust;248;3,260279538283970
16;anger;137;3,314773362477593
16;fear;192;3,136873506559707
16;joy;81;2,403110413283650
16;negative;531;4,408946799923488
16;positive;419;2,577712464347310
16;sadness;150;2,989045502935359
16;trust;276;2,648082703703296
17;anger;187;4,382561937765860
17;fear;246;3,533420251124952
17;joy;111;3,006084368056108
17;negative;258;3,053104041021536
17;positive;531;2,665774247006663
17;sadness;169;3,123634297542512
17;trust;401;3,058634651479399
18;anger;86;1,375930456631486
18;fear;98;1,766608449052238
18;joy;49;1,465818184560278
18;negative;176;1,666536416722492
18;positive;245;2,120024579374564
18;sadness;67;1,631049334877680
18;trust;183;2,437496158853856
19;anger;95;1,612507315660568
19;fear;111;1,699063533508696
19;joy;58;1,676731687430254
19;negative;310;2,667345267000660
19;positive;263;2,382257674998614
19;sadness;91;1,833882302804785
19;trust;182;2,482728646851218
20;anger;81;1,288958458228372
20;fear;86;1,481372440876421
20;joy;87;2,915312329071402
20;negative;214;1,845329395023973
20;positive;300;1,959341450502473
20;sadness;68;1,623457145208345
20;trust;187;1,749163326950069
21;anger;90;3,555265056678059
21;fear;158;2,901213301671235
21;joy;105;3,152143829117986
21;negative;338;2,508626944687633
21;positive;510;3,944144248746251
21;sadness;114;2,687480963264330
21;trust;313;3,557042677966098
22;anger;58;3,206399332634406
22;fear;106;1,679781656421706
22;joy;55;1,722354208793968
22;negative;189;1,621307916717456
22;positive;247;1,539499936248172
22;sadness;61;1,539411068256049
22;trust;141;1,317938372977772
23;anger;47;2,001405223890798
23;fear;99;1,446573804820842
23;joy;71;1,891735386284110
23;negative;227;1,931917617344811
23;positive;359;2,211505363944720
23;sadness;71;1,427466433917442
23;trust;212;2,042898304137591
24;anger;46;1,586597766373300
24;fear;240;2,770933207148733
24;joy;138;2,917289733295165
24;negative;202;2,114794592211422
24;positive;288;2,178408970478984
24;sadness;190;3,335561297769077
24;trust;192;2,126116767511002
25;anger;71;2,072031857495679
25;fear;119;2,675092264138123
25;joy;65;1,771899303411067
25;negative;241;2,431613054755417
25;positive;547;3,345291162843271
25;sadness;92;2,912468125362720
25;trust;332;2,871378683359762
26;anger;106;2,636355418124351
26;fear;147;2,924589466310985
26;joy;108;3,902930219659649
26;negative;288;3,078215989846235
26;positive;569;3,758758141964157
26;sadness;131;4,474846892953201
26;trust;321;3,201297975068776
27;anger;149;2,616806920804294
27;fear;199;3,535114340000530
27;joy;104;3,147282497656235
27;negative;237;3,138780492768327
27;positive;287;2,649393573382762
27;sadness;129;3,295644119250533
27;trust;179;2,415303755941854
28;anger;78;1,888211196032267
28;fear;153;2,299802066523679
28;joy;101;2,341029373320541
28;negative;191;1,494218557384241
28;positive;332;2,262732299120374
28;sadness;106;2,058682415204717
28;trust;233;2,553961804659908
29;anger;102;2,722692019190187
29;fear;113;1,919511308822782
29;joy;93;3,183544625388762
29;negative;118;1,422068362150131
29;positive;486;2,330839208464925
29;sadness;91;2,102987737523808
29;trust;302;2,197999717193889
30;anger;53;2,203468007943670
30;fear;135;2,353234326170253
30;joy;85;2,340889300940726
30;negative;206;2,183260232228919
30;positive;363;2,574144625167363
30;sadness;98;2,149115201633670
30;trust;264;2,726305184341381
31;anger;46;0,973336478312050
31;fear;85;1,633910733037864
31;joy;45;1,946842885535648
31;negative;153;1,389194042691149
31;positive;275;2,037522494071445
31;sadness;53;1,536331592889082
31;trust;188;2,039907809160601
32;anger;58;2,069567258086025
32;fear;146;2,122364756635392
32;joy;83;2,572412653815678
32;negative;188;2,226218445756122
32;positive;215;1,755515954739416
32;sadness;97;2,075342872516350
32;trust;158;1,851212108498829
33;anger;65;2,223657297146956
33;fear;78;1,098569493663773
33;joy;73;1,512342504381050
33;negative;93;1,028149770126426
33;positive;233;1,487674342650165
33;sadness;52;1,004269484046633
33;trust;175;1,734636718739529
34;anger;103;3,110456790081946
34;fear;125;2,011588345769709
34;joy;69;1,546065028977591
34;negative;154;2,026145720691908
34;positive;352;1,834715099271314
34;sadness;80;1,554528891313811
34;trust;260;2,087479293696088
35;anger;70;1,241285492075065
35;fear;140;2,819821003264684
35;joy;60;2,106131594381481
35;negative;176;2,222613944485806
35;positive;272;1,350397061827990
35;sadness;95;3,059488009400608
35;trust;198;1,604059445419255
36;anger;46;1,656739298986497
36;fear;70;1,158990372831827
36;joy;52;1,366541490993723
36;negative;158;1,598849454263871
36;positive;187;1,322342736575021
36;sadness;44;0,963872416899607
36;trust;129;1,475308786681077
37;anger;47;1,936107773908481
37;fear;87;1,335575159474776
37;joy;67;2,055476605765590
37;negative;251;2,334159480569271
37;positive;98;0,920312935770941
37;sadness;59;1,164957279655092
37;trust;69;0,935172423135902
38;anger;34;1,637653963889812
38;fear;93;1,327498553704683
38;joy;65;1,408660976033872
38;negative;240;2,366601626173052
38;positive;179;1,225112893850987
38;sadness;76;1,376206628703957
38;trust;124;1,331171646747024
39;anger;62;2,072832345136689
39;fear;165;2,540053023535545
39;joy;73;1,721006124699884
39;negative;135;2,301078162506111
39;positive;208;1,633404642032060
39;sadness;103;2,586497708115554
39;trust;126;1,446111893747786
